temp,avg_report_count,primary_type
-13,1.00000000000000000000,CRIMINAL TRESPASS
-13,2.0000000000000000,OFFENSE INVOLVING CHILDREN
-12,1.2000000000000000,MOTOR VEHICLE THEFT
-12,1.2000000000000000,BURGLARY
-12,1.3333333333333333,ASSAULT
-12,1.3333333333333333,CRIMINAL TRESPASS
-12,4.2222222222222222,THEFT
-12,1.00000000000000000000,ARSON
-12,2.0000000000000000,CRIMINAL DAMAGE
-12,1.2000000000000000,ROBBERY
-12,1.00000000000000000000,NON-CRIMINAL
-12,3.0000000000000000,PROSTITUTION
-12,1.5000000000000000,OFFENSE INVOLVING CHILDREN
-12,4.4285714285714286,BATTERY
-12,1.00000000000000000000,PUBLIC PEACE VIOLATION
-12,2.8571428571428571,NARCOTICS
-12,2.1250000000000000,DECEPTIVE PRACTICE
-12,1.00000000000000000000,WEAPONS VIOLATION
-12,2.6666666666666667,OTHER OFFENSE
-12,1.00000000000000000000,INTERFERENCE WITH PUBLIC OFFICER
-11,2.5454545454545455,THEFT
-11,1.7777777777777778,MOTOR VEHICLE THEFT
-11,1.5833333333333333,CRIMINAL DAMAGE
-11,1.7000000000000000,ROBBERY
-11,2.0000000000000000,DECEPTIVE PRACTICE
-11,1.00000000000000000000,PUBLIC PEACE VIOLATION
-11,2.0000000000000000,CRIMINAL TRESPASS
-11,1.1250000000000000,BURGLARY
-11,2.7777777777777778,OTHER OFFENSE
-11,1.00000000000000000000,HOMICIDE
-11,3.3750000000000000,NARCOTICS
-11,1.6666666666666667,ASSAULT
-11,2.9230769230769231,BATTERY
-11,1.00000000000000000000,WEAPONS VIOLATION
-11,1.00000000000000000000,OFFENSE INVOLVING CHILDREN
-10,1.00000000000000000000,GAMBLING
-10,2.7500000000000000,MOTOR VEHICLE THEFT
-10,2.8888888888888889,OTHER OFFENSE
-10,2.5000000000000000,CRIMINAL TRESPASS
-10,2.0000000000000000,ASSAULT
-10,1.1666666666666667,DECEPTIVE PRACTICE
-10,4.7272727272727273,THEFT
-10,4.0000000000000000,BATTERY
-10,2.6000000000000000,CRIMINAL DAMAGE
-10,1.8571428571428571,BURGLARY
-10,1.00000000000000000000,PUBLIC PEACE VIOLATION
-10,2.0000000000000000,OFFENSE INVOLVING CHILDREN
-10,2.0000000000000000,WEAPONS VIOLATION
-10,2.1666666666666667,ROBBERY
-10,1.00000000000000000000,SEX OFFENSE
-10,1.00000000000000000000,CRIM SEXUAL ASSAULT
-10,2.8000000000000000,PROSTITUTION
-10,3.8000000000000000,NARCOTICS
-9,2.3333333333333333,ASSAULT
-9,2.0000000000000000,CRIMINAL DAMAGE
-9,1.00000000000000000000,CRIM SEXUAL ASSAULT
-9,2.6666666666666667,DECEPTIVE PRACTICE
-9,1.3333333333333333,OTHER OFFENSE
-9,1.00000000000000000000,CRIMINAL TRESPASS
-9,3.0000000000000000,MOTOR VEHICLE THEFT
-9,2.0000000000000000,PROSTITUTION
